date, pm25, o3, no2, so2, co
2019/7/2, 35, 20, 4, , 23
2019/7/3, 42, 20, 4, , 22
2019/7/4, 41, 21, 2, 1, 22
2019/7/5, 36, 23, 2, , 23
2019/7/6, 35, 23, 2, , 18
2019/7/7, 45, 22, 1, , 19
2019/7/8, 42, 21, 3, , 23
2019/7/9, 31, 19, 4, , 23
2019/7/10, 19, 10, 4, 1, 23
2019/7/11, 18, 12, 3, 2, 21
2019/7/12, 11, , , , 
2019/5/22, 26, 27, 5, , 27
2019/5/23, 33, 23, 4, , 25
2019/5/24, 49, 26, 3, , 23
2019/5/25, 17, 31, 2, , 22
2019/5/26, 38, 36, 2, , 21
2019/5/27, 26, 25, 2, , 22
2019/5/28, 28, 27, 4, , 26
2019/5/29, 34, 24, 4, , 25
2019/5/30, 48, 22, 3, 1, 20
2019/5/31, 19, 22, 4, 1, 23
2019/6/1, 28, 25, 3, 1, 22
2019/6/2, 30, 23, 2, , 20
2019/6/3, 12, 23, 4, , 23
2019/6/4, 33, 25, 7, , 28
2019/6/5, 56, 25, 5, , 24
2019/6/6, 50, 24, 2, , 22
2019/6/7, 35, 23, 7, , 26
2019/6/8, 37, 28, 8, , 30
2019/6/9, 30, 39, 14, , 48
2019/6/10, 47, 64, 16, 1, 43
2019/6/11, 48, 56, 17, 2, 45
2019/6/12, 54, 28, 7, 1, 26
2019/6/13, 45, 23, 2, , 20
2019/6/14, 18, 20, 2, , 19
2019/6/15, 25, 20, 2, , 17
2019/6/16, 21, 19, 2, , 16
2019/6/17, 25, 18, 4, , 22
2019/6/18, 40, 21, 4, , 24
2019/6/19, 27, 20, 4, , 24
2019/6/20, 22, 23, 3, , 21
2019/6/21, 40, 21, 6, , 24
2019/6/22, 47, 21, 5, , 26
2019/6/23, 60, 21, 3, , 25
2019/6/24, 50, 23, 4, , 24
2019/6/25, 40, 23, 3, , 20
2019/6/26, 38, 22, 3, , 20
2019/6/27, 22, 20, 3, , 21
2019/6/28, 22, 19, 4, , 21
2019/6/29, 25, 18, 3, 1, 20
2019/6/30, 31, 22, 2, , 20
2019/7/1, 28, 21, 4, , 21
2018/10/2, 34, 20, 13, , 30
2018/10/3, 30, 20, 9, , 28
2018/10/4, 9, 27, 5, , 25
2018/10/5, 20, 24, 9, , 31
2018/10/6, 28, 23, 7, , 31
2018/10/7, 26, 28, 8, , 30
2018/10/8, 33, 25, 10, , 33
2018/10/9, 32, 24, 5, , 30
2018/10/10, 31, 26, 7, 1, 32
2018/10/11, 33, 27, 9, , 34
2018/10/12, 32, 23, 13, 1, 41
2018/10/13, 31, 27, 7, , 38
2018/10/14, 39, 28, 6, , 34
2018/10/15, 44, 33, 14, 1, 36
2018/10/16, 28, 25, 17, 1, 49
2018/10/17, 38, 31, 9, , 43
2018/10/18, 62, 28, 10, , 45
2018/10/19, 51, 29, 15, 1, 57
2018/10/20, 56, 30, 7, , 44
2018/10/21, 52, 32, 4, , 37
2018/10/22, 44, 33, 4, , 27
2018/10/23, 49, 29, 8, , 21
2018/10/26, 27, 21, 10, , 28
2018/10/27, 30, 12, 5, , 25
2018/10/28, 11, 25, 5, , 22
2018/10/29, 20, 26, 11, , 28
2018/10/30, 30, 21, 16, , 41
2018/10/31, 36, 17, 23, , 64
2018/11/1, 48, 19, 22, 2, 58
2018/11/2, 44, 15, 17, 1, 53
2018/11/3, 45, 17, 18, 1, 56
2018/11/4, 45, 27, 6, , 30
2018/11/5, 46, 22, 15, , 46
2018/11/6, 40, 18, 23, 1, 60
2018/11/7, 43, 22, 25, 1, 66
2018/11/8, 50, 22, 27, 1, 66
2018/11/9, 69, 28, 26, 2, 96
2018/11/10, 130, 24, 28, 1, 122
2018/11/11, 168, 39, 20, 1, 98
2018/11/12, 164, 38, 34, 1, 108
2018/11/13, 165, 27, 39, 1, 117
