date, pm25, pm10, o3, no2, so2, co, year
10/2, 12, , 28, 2, , 2, 2022
10/3, 17, , 24, 4, , 2, 2022
10/4, 18, , 24, 2, , 2, 2022
10/5, 20, , 19, 4, , 2, 2022
10/6, 17, , 17, 6, , 2, 2022
10/7, 17, , 16, 6, , 3, 2022
10/8, 13, , 20, 3, , 2, 2022
10/9, 8, , 24, 1, , 2, 2022
10/10, 9, , 22, 2, , 2, 2022
10/11, 11, , 25, 2, , 2, 2022
10/12, 44, , 22, 2, , 2, 2022
10/13, 33, , 22, 2, , 1, 2022
10/14, 15, , 30, 2, , 2, 2022
10/15, 18, , 29, 2, , 2, 2022
10/16, 31, , 26, 4, , 2, 2022
10/17, 39, , 20, 14, , 4, 2022
10/18, 38, , 23, 20, , 5, 2022
10/19, 47, , 24, 19, , 4, 2022
10/20, 44, , 21, 6, , 3, 2022
10/21, 40, , 28, 2, , 3, 2022
10/22, 48, , 26, 1, , 2, 2022
10/23, 20, , 24, 3, , 2, 2022
10/24, 17, , 22, 9, , 4, 2022
10/25, 16, , 22, 3, , 2, 2022
10/26, 21, , 25, 10, , 3, 2022
10/27, 30, , 23, 12, , 3, 2022
10/28, 31, , 21, 8, , 3, 2022
10/29, 23, , 20, 7, , 3, 2022
10/30, 24, , 27, 2, , 2, 2022
10/31, 37, , 25, 2, , 2, 2022
11/1, 46, , 28, 2, , 2, 2022
11/2, 12, , 28, 5, , 2, 2022
11/3, 12, , 23, 9, , 2, 2022
11/4, 20, , 22, 11, , 3, 2022
11/5, 17, , 22, 5, , 2, 2022
11/6, 6, , 28, 2, , 2, 2022
11/7, 15, , 27, 5, , 2, 2022
11/8, 11, , 27, 5, , 2, 2022
11/9, 9, , 23, 11, , 3, 2022
11/10, 16, , 19, 10, , 3, 2022
11/11, 18, , 15, 14, , 4, 2022
11/12, 29, , 25, 10, , 4, 2022
11/13, 22, , 23, 8, , 3, 2022
11/14, 9, , 18, 17, , 4, 2022
11/15, 27, , 19, 18, , 4, 2022
11/16, 26, , 20, 22, , 6, 2022
11/17, 33, , 17, 18, , 5, 2022
11/18, 39, , 13, 21, , 6, 2022
11/19, 43, , 23, 12, , 3, 2022
11/20, 26, , 24, 20, , 5, 2022
11/21, 45, , 17, 24, , 5, 2022
11/22, 37, , 18, 21, , 6, 2022
11/23, 40, , 17, 20, , 6, 2022
11/24, 41, , 28, 20, , 6, 2022
11/25, 50, , 26, 22, , 6, 2022
11/26, 73, , 24, 16, , 5, 2022
